Day,Start,End,Task
Monday,08:50,09:40,UMA011 - Numerical Analysis (F203)
Monday,09:40,10:30,"URA402 - Robotics, Sensors and Actuators (F203)"
Monday,10:30,11:20,UCS411 - Artificial Intelligence (F203)
Monday,11:20,12:10,UME405 - CAD & Analysis (F203)
Tuesday,08:50,09:40,URA401 - Data Science (F203)
Tuesday,09:40,10:30,UCS411 - Artificial Intelligence (F203)
Tuesday,10:30,11:20,URA401 - Data Science (F309)
Tuesday,11:20,12:10,UCS546 - Conversational AI (F203)
Tuesday,12:10,13:00,UME518 - Introduction to Robotics (F304)
Tuesday,13:50,15:30,UME405 - CAD & Analysis (F209)
Tuesday,15:30,16:20,UMA011 - Numerical Analysis (F203)
Wednesday,08:00,08:50,UCS411 - Artificial Intelligence (F203)
Wednesday,08:50,09:40,UME405 - CAD & Analysis (F203)
Wednesday,09:40,11:20,UCS411 - Artificial Intelligence (DT LAB)
Wednesday,11:20,12:10,UME518 - Introduction to Robotics (F203)
Wednesday,12:10,13:00,UCS546 - Conversational AI (F203)
Wednesday,13:50,14:40,UMA011 - Numerical Analysis (PG LAB)
Saturday,08:00,09:40,UCS546 - Conversational AI (ES-1 LAB)
Saturday,09:40,10:30,UHU050 - Evolutionary Psychology (LT101)
Saturday,10:30,11:20,UME518 - Introduction to Robotics (F203)
Saturday,11:20,12:10,URA401 - Data Science (F202)
Saturday,13:50,15:30,URA401 - Data Science (CAM LAB)
Saturday,15:30,17:10,UME518 - Introduction to Robotics (ROBOTICS LAB)
Friday,08:00,08:50,"URA402 - Robotics, Sensors and Actuators (F203)"
Friday,09:40,11:20,UME405 - CAD & Analysis (CAM LAB)
Friday,11:20,12:10,UMA011 - Numerical Analysis (F203)
Friday,12:10,13:00,UME405 - CAD & Analysis (F203)
Friday,13:50,15:30,"URA402 - Robotics, Sensors and Actuators (ISD LAB)"
Monday,00:00,07:00,Sleep
Monday,23:00,23:59,Sleep
Tuesday,00:00,07:00,Sleep
Tuesday,23:00,23:59,Sleep
Wednesday,00:00,07:00,Sleep
Wednesday,23:00,23:59,Sleep
Thursday,00:00,07:00,Sleep
Thursday,23:00,23:59,Sleep
Friday,00:00,07:00,Sleep
Friday,23:00,23:59,Sleep
Saturday,00:00,07:00,Sleep
Saturday,23:00,23:59,Sleep
Sunday,00:00,07:00,Sleep
Sunday,23:00,23:59,Sleep
Monday,07:00,07:30,Breakfast
Monday,13:15,13:30,Lunch
Monday,20:30,20:45,Dinner
Tuesday,07:00,07:30,Breakfast
Tuesday,13:15,13:30,Lunch
Tuesday,20:30,20:45,Dinner
Wednesday,07:00,07:30,Breakfast
Wednesday,13:15,13:30,Lunch
Wednesday,20:30,20:45,Dinner
Thursday,07:00,07:30,Breakfast
Thursday,13:15,13:30,Lunch
Thursday,20:30,20:45,Dinner
Friday,07:00,07:30,Breakfast
Friday,13:15,13:30,Lunch
Friday,20:30,20:45,Dinner
Saturday,07:00,07:30,Breakfast
Saturday,13:15,13:30,Lunch
Saturday,20:30,20:45,Dinner
Sunday,07:00,07:30,Breakfast
Sunday,13:15,13:30,Lunch
Sunday,20:30,20:45,Dinner
